ISO3Code,Country,catype,mae,vacc_prop,date
TZA,Tanzania,ZMB,0.0028432037653040197,0.3136515575325499,2022-09-25
TLS,Timor-Leste,ZMB,0.008789309004400673,0.5694731487075133,2022-10-04
TGO,Togo,ZMB,0.004528377258587207,0.16657160020169282,2022-10-02
TON,Tonga,ZMB,0.011553338092595518,0.7225633624796023,2022-08-29
TUN,Tunisia,BRA,0.004426854894662699,0.5205716473023693,2022-10-04
UGA,Uganda,ZMB,0.004053861219092104,0.27706750793795004,2022-09-25
UKR,Ukraine,GEO,0.008218308290796561,0.34810663892394783,2022-02-27
UZB,Uzbekistan,BRA,0.011408662444891709,0.4840011350456373,2022-09-04
VUT,Vanuatu,ZMB,0.006212774584975088,0.409251855008523,2022-08-15
VEN,"Venezuela, RB",BRA,0.009409641514362492,0.5066467337114297,2022-03-25
VNM,Vietnam,BRA,0.0029794409039645923,0.8642242151446832,2022-09-22
YEM,"Yemen, Rep.",ZMB,0.00391798088400926,0.018319343176405323,2022-09-28
ZMB,Zambia,ZMB,0.0,0.31309771800879416,2022-09-28
ZWE,Zimbabwe,ZMB,0.003536068182139583,0.2961251066369113,2022-10-05
ALB,Albania,GEO,0.007409476999063741,0.4424204209884717,2022-09-18
ARG,Argentina,BRA,0.005316788144105898,0.8351805715865837,2022-10-08
ASM,American Samoa,BRA,0.009666922290891482,,
AZE,Azerbaijan,BRA,0.006213985552039053,0.47149207523868925,2022-08-28
BGR,Bulgaria,GEO,0.011964205738914647,0.3009405640654163,2022-10-09
BIH,Bosnia and Herzegovina,GEO,0.007821363294415809,0.2586654674202516,2022-01-29
BLR,Belarus,GEO,0.006783501991110695,0.6672252981989876,2022-09-18
BRA,Brazil,BRA,0.0,0.8037499592385389,2022-09-28
COL,Colombia,BRA,0.003378612247315042,0.7081181776066501,2022-08-19
CRI,Costa Rica,BRA,0.0019828430580009484,0.8155223258556484,2022-09-16
CUB,Cuba,GEO,0.008433341715454987,0.8879126418352201,2022-10-07
DMA,Dominica,BRA,0.004066546949082014,0.42339667458432306,2022-10-07
DOM,Dominican Republic,BRA,0.009392591507759583,0.5441647386901488,2022-10-08
ECU,Ecuador,BRA,0.00871890946985102,0.7915728836761663,2022-08-22
FJI,Fiji,BRA,0.009735662784136071,0.6908036902045187,2022-10-04
GRD,Grenada,BRA,0.005851395509198839,0.31200545702592086,2022-09-30
GUY,Guyana,BRA,0.012391303570447923,0.5737309633629021,2022-07-27
IRQ,Iraq,ZMB,0.0058860564821904635,0.18036970163178817,2022-09-22
JAM,Jamaica,BRA,0.004553331970731138,0.25914826710386624,2022-10-03
KAZ,Kazakhstan,BRA,0.00911449857780932,0.5519791274070512,2022-10-07
LBN,Lebanon,BRA,0.00877751993277799,0.43009327810112985,2022-10-03
LBY,Libya,BRA,0.011180289210651922,0.18260392260036223,2022-10-02
LCA,St. Lucia,BRA,0.0036605225175080506,0.33464141785229223,2022-10-07
MDV,Maldives,BRA,0.012651789749143355,0.7382876473273016,2022-10-04
MEX,Mexico,BRA,0.006356394210533395,0.6309725971807079,2022-09-16
