run_idx,mean_inf_days_pax,n_transmission_asymp,n_transmission_presymp,n_transmission_mild,n_transmission_severe,infected_n,deaths_n,severe_n,test_rate,av_disbured_rate,unvacc_cond_prob_sev,unvacc_cond_prob_dead,inf_unvacc_cond_prob_sev,inf_unvacc_cond_prob_dead,risk_cond_prob_sev,risk_cond_prob_dead,inf_risk_cond_prob_sev,inf_risk_cond_prob_dead,old_cond_prob_sev,old_cond_prob_dead,inf_old_cond_prob_sev,inf_old_cond_prob_dead,inf_age_0,inf_age_1,inf_age_2,inf_age_3,inf_age_4,inf_age_5,inf_age_6,inf_age_7,inf_age_8,inf_age_9,inf_age_10,inf_age_11,inf_age_12,inf_age_13,inf_age_14,inf_age_15,inf_age_16,inf_age_17,inf_age_18,inf_age_19,inf_age_20,inf_age_21,inf_age_22,inf_age_23,inf_age_24,inf_age_25,inf_age_26,inf_age_27,inf_age_28,inf_age_29,inf_age_30,inf_age_31,inf_age_32,inf_age_33,inf_age_34,inf_age_35,inf_age_36,inf_age_37,inf_age_38,inf_age_39,inf_age_40,inf_age_41,inf_age_42,inf_age_43,inf_age_44,inf_age_45,inf_age_46,inf_age_47,inf_age_48,inf_age_49,inf_age_50,inf_age_51,inf_age_52,inf_age_53,inf_age_54,inf_age_55,inf_age_56,inf_age_57,inf_age_58,inf_age_59,inf_age_60,inf_age_61,inf_age_62,inf_age_63,inf_age_64,inf_age_65,inf_age_66,inf_age_67,inf_age_68,inf_age_69,inf_age_70,inf_age_71,inf_age_72,inf_age_73,inf_age_74,inf_age_75,inf_age_76,inf_age_77,inf_age_78,inf_age_79,inf_age_80,inf_age_81,inf_age_82,inf_age_83,inf_age_84,inf_age_85,inf_age_86,inf_age_87,inf_age_88,inf_age_89,inf_age_90,inf_age_91,inf_age_92,inf_age_93,inf_age_94,inf_age_95,inf_age_96,inf_age_97,inf_age_98,inf_age_99,trans_from_HR_n,trans_from_LR_n,sev_cases_HR_n,sev_cases_LR_n,d0_onset_abv65_n,d0_onset_tot_n,d1_onset_abv65_n,d1_onset_tot_n,d2_onset_abv65_n,d2_onset_tot_n,d3_onset_abv65_n,d3_onset_tot_n,d4_onset_abv65_n,d4_onset_tot_n,d5_onset_abv65_n,d5_onset_tot_n,d6_onset_abv65_n,d6_onset_tot_n,d7_onset_abv65_n,d7_onset_tot_n,d8_onset_abv65_n,d8_onset_tot_n,d9_onset_abv65_n,d9_onset_tot_n,d10_onset_abv65_n,d10_onset_tot_n,d11_onset_abv65_n,d11_onset_tot_n,d12_onset_abv65_n,d12_onset_tot_n,d13_onset_abv65_n,d13_onset_tot_n,d14_onset_abv65_n,d14_onset_tot_n,d15_onset_abv65_n,d15_onset_tot_n,d16_onset_abv65_n,d16_onset_tot_n,d17_onset_abv65_n,d17_onset_tot_n,d18_onset_abv65_n,d18_onset_tot_n,d19_onset_abv65_n,d19_onset_tot_n,d20_onset_abv65_n,d20_onset_tot_n,d21_onset_abv65_n,d21_onset_tot_n,d22_onset_abv65_n,d22_onset_tot_n,d23_onset_abv65_n,d23_onset_tot_n,d24_onset_abv65_n,d24_onset_tot_n,d25_onset_abv65_n,d25_onset_tot_n,d26_onset_abv65_n,d26_onset_tot_n,d27_onset_abv65_n,d27_onset_tot_n,d28_onset_abv65_n,d28_onset_tot_n,d29_onset_abv65_n,d29_onset_tot_n,d30_onset_abv65_n,d30_onset_tot_n,d31_onset_abv65_n,d31_onset_tot_n,d32_onset_abv65_n,d32_onset_tot_n,d33_onset_abv65_n,d33_onset_tot_n,d34_onset_abv65_n,d34_onset_tot_n,d35_onset_abv65_n,d35_onset_tot_n,d36_onset_abv65_n,d36_onset_tot_n,d37_onset_abv65_n,d37_onset_tot_n,d38_onset_abv65_n,d38_onset_tot_n,d39_onset_abv65_n,d39_onset_tot_n,d40_onset_abv65_n,d40_onset_tot_n,d41_onset_abv65_n,d41_onset_tot_n,d42_onset_abv65_n,d42_onset_tot_n,d43_onset_abv65_n,d43_onset_tot_n,d44_onset_abv65_n,d44_onset_tot_n,d45_onset_abv65_n,d45_onset_tot_n,d46_onset_abv65_n,d46_onset_tot_n,d47_onset_abv65_n,d47_onset_tot_n,d48_onset_abv65_n,d48_onset_tot_n,d49_onset_abv65_n,d49_onset_tot_n,d50_onset_abv65_n,d50_onset_tot_n,d51_onset_abv65_n,d51_onset_tot_n,d52_onset_abv65_n,d52_onset_tot_n,d53_onset_abv65_n,d53_onset_tot_n,d54_onset_abv65_n,d54_onset_tot_n,d55_onset_abv65_n,d55_onset_tot_n,d56_onset_abv65_n,d56_onset_tot_n,d57_onset_abv65_n,d57_onset_tot_n,d58_onset_abv65_n,d58_onset_tot_n,d59_onset_abv65_n,d59_onset_tot_n,d60_onset_abv65_n,d60_onset_tot_n,d61_onset_abv65_n,d61_onset_tot_n,d62_onset_abv65_n,d62_onset_tot_n,d63_onset_abv65_n,d63_onset_tot_n,d64_onset_abv65_n,d64_onset_tot_n,d65_onset_abv65_n,d65_onset_tot_n,d66_onset_abv65_n,d66_onset_tot_n,d67_onset_abv65_n,d67_onset_tot_n,d68_onset_abv65_n,d68_onset_tot_n,d69_onset_abv65_n,d69_onset_tot_n,d70_onset_abv65_n,d70_onset_tot_n,d71_onset_abv65_n,d71_onset_tot_n,d72_onset_abv65_n,d72_onset_tot_n,d73_onset_abv65_n,d73_onset_tot_n,d74_onset_abv65_n,d74_onset_tot_n,d75_onset_abv65_n,d75_onset_tot_n,d76_onset_abv65_n,d76_onset_tot_n,d77_onset_abv65_n,d77_onset_tot_n,d78_onset_abv65_n,d78_onset_tot_n,d79_onset_abv65_n,d79_onset_tot_n,d80_onset_abv65_n,d80_onset_tot_n,d81_onset_abv65_n,d81_onset_tot_n,d82_onset_abv65_n,d82_onset_tot_n,d83_onset_abv65_n,d83_onset_tot_n,d84_onset_abv65_n,d84_onset_tot_n,d85_onset_abv65_n,d85_onset_tot_n,d86_onset_abv65_n,d86_onset_tot_n,d87_onset_abv65_n,d87_onset_tot_n,d88_onset_abv65_n,d88_onset_tot_n,d89_onset_abv65_n,d89_onset_tot_n,d90_onset_abv65_n,d90_onset_tot_n,expected_hospitalization_n
0,4.9686374136263645,32634,4428,22077,1504,593631,4390,13738,350.7516483516484,0.0,0.00627531237863928,0.00010479401811087207,0.009409024530010905,0.00015712516405715657,0.021843150537303322,0.005782553807309789,0.03619387755102041,0.009581632653061226,0.03514788787644441,0.015283802009197928,0.057186274807768285,0.024867033401209618,2810,2688,2751,2762,2659,4628,4591,4601,4850,4702,8083,8449,8295,8031,7757,8520,8861,8718,8699,6220,8552,8539,8494,8373,8327,8371,8358,8314,8127,8067,8097,8224,7908,7950,7754,7353,7025,7067,6928,7060,6803,6736,6782,6652,6693,7064,7110,7230,7010,7052,8477,8280,8330,8221,8406,7908,8159,8293,8339,8008,7403,7516,7667,7617,7429,6669,6760,6520,6616,6544,6928,6743,6929,6972,6883,5182,5113,5122,5204,5204,3537,3549,3549,3489,3620,2021,2061,1977,2133,2021,845,799,856,807,852,253,273,280,299,273,120587,197335,10557,3181,301,1481,799,3532,105,536,105,533,232,838,362,1422,463,1707,399,1471,539,1822,465,1746,527,1959,600,2317,540,1946,550,2022,570,2260,783,2955,886,3357,938,3476,1005,3642,882,3193,823,3160,906,3594,1265,4859,1273,5294,1294,5135,1407,5414,1255,4767,1173,4551,1317,5217,1709,6635,1909,7290,1797,7042,1860,7139,1652,6495,1617,6116,1804,6731,2253,8377,2299,8853,2317,8720,2275,8693,2065,7551,1901,6916,1932,7401,2406,9229,2489,9529,2392,9000,2456,8975,2059,7812,1918,7105,1900,7483,2247,8625,2326,8800,2169,8362,2082,8034,1838,6927,1657,6117,1642,6229,1889,7004,1908,7195,1687,6566,1741,6459,1372,5370,1247,4750,1178,4649,1408,5436,1375,5228,1271,4779,1214,4645,1016,3735,861,3313,791,3221,947,3525,932,3526,865,3338,741,2935,648,2521,579,2195,517,2092,592,2266,603,2280,558,2109,501,1926,399,1569,380,1384,327,1342,324,1415,363,1330,322,1278,288,1141,256,969,212,845,3841.9650540000002
1,4.954744552292001,33592,4506,22198,1397,595545,4309,13581,351.42747252747256,0.0,0.006248111072047567,9.868684812710866e-05,0.009389801915037587,0.000148308816032183,0.02091082923950001,0.0057549356566221725,0.03446214332036316,0.009484435797665369,0.034990991529795235,0.015037790719406712,0.056769459352921554,0.02439734376421359,2859,2808,2783,2834,2754,4604,4646,4798,4742,4879,8299,8191,8325,8072,7938,8468,8804,8594,8548,6079,8481,8309,8479,8417,8431,8282,8434,8418,8361,8318,8084,8074,7782,7849,7811,7223,7102,7200,6976,7066,6857,6764,6719,6791,6848,7187,6960,6857,7275,7131,8430,8344,8513,8199,8397,8347,8373,8236,8200,8100,7585,7645,7736,7483,7418,6717,6586,6498,6622,6715,6771,6712,6933,6837,6815,5183,5258,5215,5147,5166,3685,3562,3577,3566,3671,2013,2018,2082,2136,2036,845,857,776,843,865,273,240,261,283,264,121065,197993,10395,3186,1147,5004,63,291,14,50,66,232,248,958,453,1639,409,1661,326,1141,468,1663,371,1478,493,1887,608,2226,532,1997,484,1840,551,2047,690,2638,803,3245,842,3239,892,3291,763,3021,816,3026,894,3369,1211,4595,1248,4799,1308,4866,1315,5191,1170,4539,1123,4267,1313,4932,1627,6430,1774,7038,1785,6833,1871,7062,1605,6031,1493,5787,1735,6554,2073,8142,2293,8845,2237,8443,2216,8542,1992,7556,1853,7057,1938,7532,2532,9267,2503,9540,2485,9285,2398,9167,2171,7831,1920,7171,1910,7414,2376,8961,2444,9193,2303,8704,2203,8231,1897,7056,1627,6247,1677,6417,2032,7593,1987,7557,1830,7014,1728,6671,1456,5548,1315,5013,1351,4977,1528,5673,1487,5698,1351,5154,1214,4682,1068,3959,895,3499,901,3396,979,3720,909,3672,844,3406,867,3229,643,2643,577,2335,624,2319,635,2508,614,2259,555,2158,495,1955,431,1619,364,1437,324,1367,361,1539,399,1459,313,1295,311,1202,278,1019,224,854,3803.5650760000003
2,4.958619390105007,33100,4418,21907,1483,595045,4312,13467,352.6912087912088,0.0,0.006184143190968562,6.782210877433118e-05,0.009225872916590015,0.00010118105890577283,0.021103235747303543,0.005559322033898305,0.034873654298605665,0.009186926453663058,0.034890630430639176,0.015109556430063644,0.05671380667735822,0.024560188560042766,2708,2798,2752,2745,2802,4649,4798,4608,4741,4898,8250,8226,8283,8054,7873,8711,8394,8610,8601,6165,8654,8634,8585,8499,8470,8365,8528,8372,8276,8344,8253,8186,7959,7778,7797,7185,6979,6911,6900,7041,6733,6753,6786,6668,6673,7147,7253,6973,7183,7091,8447,8416,8310,8277,8370,8406,8224,8039,8182,8116,7488,7455,7570,7542,7725,6493,6551,6591,6596,6748,7000,6780,6955,6843,6924,5102,5202,5090,5332,5183,3557,3581,3619,3516,3623,2084,1956,2048,2010,2036,760,849,776,861,798,278,262,273,292,267,120576,198064,10348,3119,855,3715,423,1903,60,312,90,377,216,849,383,1424,447,1691,365,1302,487,1841,452,1616,490,1878,642,2237,507,1941,466,1826,603,2187,707,2833,896,3286,831,3285,869,3467,840,3148,819,3010,949,3517,1121,4645,1226,5046,1319,4925,1295,5089,1190,4702,1202,4548,1321,5069,1723,6543,1785,6954,1762,6887,1768,6981,1699,6360,1586,5953,1658,6375,2253,8238,2302,8690,2198,8395,2157,8395,1974,7633,1805,6936,1970,7322,2394,9072,2462,9410,2469,9085,2357,8955,2032,7747,1827,6951,1867,7280,2299,8683,2455,9076,2202,8340,2139,8148,1946,7017,1584,6290,1676,6353,1896,7269,1976,7541,1829,6959,1713,6538,1485,5620,1282,4815,1246,4805,1420,5468,1485,5716,1311,5040,1218,4719,1054,3980,954,3664,838,3345,980,3843,1020,3847,852,3270,844,3108,742,2698,583,2230,545,2238,645,2409,625,2423,545,2196,539,1973,440,1696,367,1389,372,1399,374,1485,378,1488,332,1305,299,1190,249,1023,215,865,3782.5735300000006
3,4.9681976339596385,33723,4476,22424,1391,598340,4289,13652,352.5065934065934,0.0,0.006561154270294913,6.776779058520568e-05,0.009763207832567861,0.00010084064428004364,0.021812495364303904,0.005692634806042475,0.03576967129202607,0.009335184828550867,0.03485767912091199,0.014992952190803077,0.05643086719407304,0.024271991574410904,2759,2795,2742,2750,2779,4766,4835,4535,4593,4808,8341,8324,8183,7901,8140,8513,8670,8663,8744,6197,8678,8410,8617,8503,8556,8365,8501,8518,8258,8245,8127,8166,8114,7968,8030,7194,7211,7153,7090,7095,6904,6776,6767,6857,6689,7060,7096,7105,7091,7016,8625,8471,8403,8309,8366,8367,8331,8423,8262,8374,7639,7691,7408,7462,7590,6603,6555,6748,6608,6728,6917,6889,6720,6638,6855,5206,5361,5185,5395,5275,3630,3560,3675,3531,3482,2044,2103,2054,2098,2038,819,836,815,846,831,260,266,316,262,272,120874,199237,10463,3189,393,1890,453,2073,85,363,103,432,248,980,401,1578,410,1643,318,1113,482,1792,408,1630,511,1964,585,2245,529,1977,505,1941,572,2102,736,2802,893,3305,897,3417,922,3403,826,3132,814,3091,902,3401,1180,4735,1330,5157,1366,5116,1387,5321,1271,4763,1220,4678,1341,5127,1698,6530,1822,7181,1824,7216,1795,7059,1717,6601,1594,5991,1758,6651,2150,8345,2340,9076,2202,8690,2217,8719,2054,7713,1891,7224,1999,7601,2469,9310,2681,9987,2505,9445,2329,8981,2145,7964,1898,7123,1994,7568,2311,8810,2507,9206,2296,8541,2156,8399,1804,6994,1679,6394,1682,6367,1949,7459,2031,7559,1862,7036,1680,6583,1477,5576,1238,4866,1257,4913,1396,5522,1471,5455,1341,4915,1172,4660,1006,3993,897,3336,859,3330,909,3673,885,3543,875,3356,810,3054,654,2563,551,2181,584,2194,658,2341,596,2333,542,2055,456,1888,399,1507,317,1397,383,1327,391,1414,365,1416,306,1258,291,1183,250,912,198,784,3814.920572
4,4.963227982186865,33297,4471,22501,1441,596324,4287,13598,351.65714285714284,0.0,0.006441352869021716,7.396768844809625e-05,0.009613350137530704,0.0001103925374644674,0.021617603695694907,0.005805238844112444,0.03571138623909072,0.009590014207428455,0.0351174998041359,0.014971478456814765,0.05703569502596387,0.024315759496355362,2651,2694,2719,2740,2815,4918,4792,4712,4800,4780,8233,8315,8236,7963,7971,8623,8834,8783,8498,6189,8558,8520,8583,8352,8485,8434,8332,8420,8323,8288,8243,8015,7950,7906,7843,7324,7140,7093,6993,7024,6846,6817,6664,6814,6747,7185,7152,6854,7132,7103,8395,8283,8526,8274,8189,8337,8178,8149,8206,8344,7565,7569,7550,7563,7689,6618,6640,6573,6700,6788,6958,6754,6886,6871,6815,5118,5296,5187,5127,5215,3592,3549,3554,3645,3509,2053,2010,2060,2020,2059,831,776,801,866,838,271,277,272,297,275,121110,198075,10423,3175,560,2468,66,300,15,53,73,310,325,1228,457,1806,393,1562,235,780,412,1617,431,1502,528,2037,608,2226,485,1836,467,1814,579,2015,743,2777,789,3048,838,3234,860,3393,773,3008,766,2945,913,3365,1151,4427,1270,4928,1271,4915,1273,4983,1217,4678,1177,4455,1328,5042,1613,6357,1786,6940,1830,6931,1824,7157,1629,6265,1632,6025,1715,6578,2164,8219,2307,8817,2216,8593,2231,8637,1986,7657,1887,7146,2056,7575,2457,9295,2540,9777,2463,9243,2450,9274,2150,8059,1958,7073,2004,7496,2467,9199,2569,9471,2246,8515,2271,8488,1965,7261,1696,6387,1725,6491,2105,7744,2050,7769,1839,7046,1646,6661,1446,5756,1338,5087,1330,5056,1474,5588,1442,5611,1380,5144,1248,4726,1063,3970,866,3542,881,3319,965,3779,897,3672,832,3361,802,3099,641,2554,595,2268,551,2237,635,2409,631,2388,566,2160,519,1967,443,1622,343,1420,343,1367,412,1561,349,1454,340,1300,269,1139,260,1003,217,857,3819.500508
