ini_immune,f_mutant_beta,n_test,seq_prop,seq_mode,prob_not_detected,expected_day_1,sd_expected_day,prob95_day_1,max_diff,gmean_err,prop_days_w_mea,prop_days_abv20_absdiff
10,1.0,27,25,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,25,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,30,0,0.0,15.603,9.10144094235782,23,24.781702932393273,2.034426566117423,13.33333333333333,10.566666666666666
10,1.0,27,30,1,0.0,49.898,10.74239242417605,48,46.89843039684897,2.215366570161078,12.536666666666665,12.575984848484847
10,1.0,27,30,2,0.0,40.959,12.269305394147414,42,32.85048246070845,2.1501792203955516,13.31222222222222,10.285606060606058
10,1.0,27,30,3,0.0,32.349,12.279902075953009,42,28.607392536507035,2.2074371242299975,13.33333333333333,9.941666666666665
10,1.0,27,30,4,0.0,25.548,11.598802879100422,35,26.40555140712955,2.154645886667821,13.33333333333333,9.775
10,1.0,27,30,5,0.0,17.325,8.695342660527185,23,31.655667456681307,2.390472129668768,13.33333333333333,16.141666666666662
10,1.0,27,35,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,35,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,35,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,35,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,35,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,35,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,40,0,0.0,13.881,8.521352736065586,20,24.70258783819385,2.022388156499776,13.33333333333333,10.508333333333333
10,1.0,27,40,1,0.0,50.342,11.020820953744531,53,46.54893236766105,2.2216456785237066,12.548888888888888,13.026540404040404
10,1.0,27,40,2,0.0,40.423,12.16536341697473,42,32.772919110876586,2.1822758256000347,13.317777777777778,10.163636363636362
10,1.0,27,40,3,0.0,32.894,12.373919261005298,42,28.276719995624898,2.208804285993464,13.33333333333333,9.791666666666664
10,1.0,27,40,4,0.0,25.922,11.873706283250437,37,26.054856607188093,2.187110922655009,13.33333333333333,9.766666666666666
